"UPALNR";"ARTIKELNR";"Reichweite_Tage"
"8364604285";"09726200ET0001";0
"8363741202";"000000000000148349";0
"8362745195";"05951800ET0001";0
"8362642265";"07932300ET0001";0
"8364743359";"09265500ET0001";0
"8365637923";"07801540ET0025";0
"8361970987";"04533700ET0001";0
"8365230803";"02624900ET0001";0
"8362048845";"00768920ET0001";0
"8364327030";"08348230ET0025";0
"8364595187";"05693900ET0025";0
"8364772014";"05084620ET0001";0
"8158685490";R000000892;0
"1039539240";"05939400ET0001";0
"8362533471";"08981900ET0001";0
"8363956606";"02626300ET0001";0
"8361662745";"07361900ET0001";0
"8365629539";"05043300ET0001";0
"8352562979";R902249091;0
"8363666932";"08907600ET0001";0
"8292188024";R000000892;0
"8364595644";"01482000ET0001";0
"8365056595";"04534200ET0001";0
"8365076661";"02156600ET0001";0
"8363757302";"05689300ET0001";0
"8365594172";"02264600ET0001";0
"8365729482";"08525600ET0001";0
"8365589505";"01105070ET0025";0
"8360349401";R902251269;0
"8362776755";"06907500ET0001";0
"8363813022";"09295800ET0001";0
"1039091298";"02529210ET0001";0
"8364342590";"03328000ET0001";0
"8360440030";"05917770ET0001";0
"8362373664";"06558400ET0001";0
"8364152892";"08028200ET0001";0
"8364148864";"05051000ET0001";0
"8364029408";"02636000ET0001";0
"8362765643";"03402900ET0001";0
"8364595330";"09529400ET0001";0
"8364062160";"06913700ET0001";0
"8365579988";"06440800ET0001";0
"8364368149";"03627300ET0001";0
"8348700378";R902572890;0
"8365563680";"04570700ET0001";0
"8364743359";"07267600ET0025";0
"8365230803";"09290600ET0004";0
"8364364646";"08014900ET0001";0
"8363217899";"06210820ET0001";0
"8363218872";"05693700ET0004";0
"8365432139";"07277200ET0001";0
"8365628303";"000000000000136102";0
"8365304580";"02071400ET0001";0
"8364606531";"03644580ET0001";0
"8365144704";"04037300ET0008";0
"1039090734";"02483000ET0001";0
"8361508869";"01224760ET0001";0
"8363218810";"01816500ET0001";0
"8364436435";"03234800ET0003";0
"8363932310";R902279833;0
"8340463660";R000000892;0
"8364170995";"01916980ET0001";0
"8364842182";R902120458;0
"8365725392";"09862250ET0001";0
"8364700291";"05152020ET0001";0
"8364778658";"06524400ET0001";0
"8360768165";"08484100ET0001";0
"8363463647";R902295160;0
"8364765894";"01301600ET0004";0
"1039091434";"04197300ET0001";0
"8364006874";"06334630ET0001";0
"8362003325";"01146000ET0025";0
"8364219205";"09148730ET0001";0
"8361827717";"05850900ET0001";0
"8364743700";"04247800ET0001";0
"8365588638";"08978400ET0001";0
"8365619844";R909154399;0
"8365043236";"06542500ET0001";0
"8365313421";"03061300ET0001";0
"8363081469";"00022400ET0005";0
