"PALNR";"PLATZ";"Einlagerung";"letzte_Bewegung";"Verweildauer";"ABC_Klasse_System";"ABC_Klasse_Neu"
"8362777394";"020501602";2025-08-28 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8351074824";"022303810";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074879";"022303010";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074817";"022303906";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8334375481";"020803101";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8351035559";"021406706";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;C
"8351074695";"022303909";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362217463";"021504202";2025-09-01 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8362898112";"021501102";2025-08-28 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8351074855";"022303307";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351011478";"021001004";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074732";"022304209";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074862";"022303407";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074657";"022304307";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351077856";"022302909";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351011478";"021001004";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;X;B
"8351080252";"020703006";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;C
"8351074695";"022303909";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074800";"022303809";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8363074058";"021703706";2025-09-04 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8351077856";"022302909";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8363107091";"020601004";2025-09-04 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8362770708";"022204309";2025-09-05 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8351074749";"022304208";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074817";"022303906";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351074749";"022304208";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362783760";"020901003";2025-09-04 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8362768842";"021406303";2025-09-01 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8351074763";"022304210";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8351011454";"021001004";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;X;A
"8362968525";"020303103";2025-09-04 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074886";"022303108";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074589";"022303910";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8362777455";"020501602";2025-08-29 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8334421065";"021500902";2025-08-29 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8363104991";"021402003";2025-08-28 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074848";"022303707";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;A;A
"8362948268";"021502204";2025-09-08 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8362895913";"022101303";2025-09-02 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8351074787";"022303710";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8351074800";"022303809";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362751486";"021205408";2025-09-04 00:00:00.000;2025-09-11 00:00:00.000;169;B;
"8351074794";"022303808";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8362957581";"020403308";2025-09-01 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351011478";"021001004";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;X;A
"8363273086";"020506602";2025-09-09 00:00:00.000;2025-09-11 00:00:00.000;169;C;
"8351011454";"021001004";2025-09-10 00:00:00.000;2025-09-11 00:00:00.000;169;X;B
"8362784927";"021004707";2025-09-02 00:00:00.000;2025-09-11 00:00:00.000;169;A;
"8351074879";"022303010";2025-09-11 00:00:00.000;2025-09-11 00:00:00.000;169;C;A
"8363106841";"022204808";2025-09-01 00:00:00.000;2025-09-11 00:00:00.000;169;A;
